Laptop,TypeName,Inches,ScreenResolution,CPU_Company,CPU_Type,CPU_Frequency (GHz),RAM (GB),Memory,GPU_Company,GPU_Type,OpSys,Weight (kg)
4,3,15.6,3,1,66,2.8,8,16,3,14,2,2.5
527,1,17.3,3,1,66,2.8,16,18,3,19,5,2.8
179,4,14.0,3,1,62,2.7,8,29,2,52,5,1.1
589,4,13.3,3,1,55,2.5,16,29,2,46,5,1.2
231,4,14.0,3,1,64,2.8,8,29,2,39,5,1.4
404,3,15.6,3,1,36,2.0,4,26,2,46,5,2.2
431,3,11.6,0,1,22,1.1,2,23,2,42,5,1.2
443,5,15.6,3,1,66,2.8,8,29,3,62,5,2.7
468,4,14.0,9,1,66,2.8,8,29,3,13,5,1.7
260,3,15.6,3,1,36,2.0,4,10,0,73,5,2.1
23,0,13.3,3,1,55,2.5,8,16,2,46,5,1.6
168,0,13.3,3,1,46,2.5,8,16,2,52,5,1.3
195,3,15.6,3,1,46,2.5,4,16,0,91,2,2.3
220,3,13.3,0,1,36,2.0,4,4,2,46,5,1.6
311,4,14.0,3,1,55,2.5,8,16,2,46,5,1.4
